City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
191,Guanica,PR,83.05,overcast clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
192,Buala,SB,81.79,light rain,-8.145,159.5921,Maringe Lagoon Lodge
193,Victoria,HK,84.38,moderate rain,22.2855,114.1577,Mini Central
199,Lampitak,PH,77.09,overcast clouds,6.4322,125.0525,Mt. Mabalo
206,Nieuw Nickerie,SR,79.43,few clouds,5.95,-56.9833,Ishwardat Inn
208,Umm Lajj,SA,86.86,broken clouds,25.0213,37.2685,Moon light Furnished Units
215,Esso,RU,77.4,light rain,55.9333,158.7,Paramushir Tur
218,Ellenabad,IN,86.14,broken clouds,29.45,74.65,Lovelysweets
219,Bengkulu,ID,85.14,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
221,Gizo,SB,82.63,light rain,-8.103,156.8419,Imagination Island
222,Tupelo,US,82.26,clear sky,34.2576,-88.7034,"Hilton Garden Inn Tupelo, MS"
223,Sao Miguel Do Araguaia,BR,79.72,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
224,Muli,MV,81.57,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
229,Bani,DO,79.63,broken clouds,18.2833,-70.3333,Hospedaje Henriquez
231,Bandarbeyla,SO,80.69,scattered clouds,9.4942,50.8122,JABIR HOTEL
232,Zhangjiakou,CN,77.68,overcast clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
236,Vila Velha,BR,75.15,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
238,Yar-Sale,RU,80.58,clear sky,66.8333,70.8333,Yalemd
239,Mogadishu,SO,76.87,scattered clouds,2.0371,45.3438,Hotel Juba
241,Moses Lake,US,84.56,clear sky,47.1301,-119.2781,Ramada by Wyndham Moses Lake
242,Vanimo,PG,82.65,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
246,Limbang,MY,89.71,broken clouds,4.75,115.0,Purnama Hotel
251,Port Keats,AU,88.05,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
265,Altay,CN,85.44,few clouds,47.8667,88.1167,Jinqiao Hotel
267,Faanui,PF,76.41,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
269,Hobyo,SO,77.94,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
271,Chuari Khas,IN,75.02,overcast clouds,32.4333,76.0167,PWD Rest House
272,Weligama,LK,81.93,overcast clouds,5.9667,80.4167,Weligama Bay Resort
273,Tamandare,BR,75.52,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
276,Palamos,ES,75.99,broken clouds,41.8484,3.1291,Hotel Rosamar
277,Khandbari,NP,84.51,scattered clouds,27.3747,87.2039,Sainik Hotel And Lodge
278,Fort Myers Beach,US,80.02,clear sky,26.452,-81.9481,Lani Kai Island Resort
279,Villena,ES,75.47,clear sky,38.6373,-0.8657,Hotel Restaurante Salvadora
282,San Andres,CO,82.42,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
286,Gat,IL,79.39,clear sky,31.61,34.7642,OlusHome
288,Lorengau,PG,83.21,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
290,Elat,IL,87.64,clear sky,29.5581,34.9482,Club Hotel Eilat
291,Corinto,GR,82.89,clear sky,37.9407,22.9573,Ephira Hotel
292,Kavaratti,IN,80.8,overcast clouds,10.5669,72.642,Green leaf
298,San Patricio,US,84.88,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
300,Porto Recanati,IT,77.11,broken clouds,43.4365,13.6613,Hotel Il Brigantino
306,Sinnamary,GF,78.96,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
308,Sars,RU,75.67,scattered clouds,56.5502,57.1366,Gostinitsa Vizit
310,Neiafu,TO,81.28,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
311,Erzin,TR,78.93,overcast clouds,36.9559,36.2,Artemis Otel
313,Hambantota,LK,86.34,few clouds,6.1241,81.1185,Bungalow 63
315,Chingirlau,KZ,80.78,scattered clouds,51.095,54.0814,Хостыл Аққу
318,Noshiro,JP,88.63,overcast clouds,40.2039,140.0242,Suigetsu
320,Samarinda,ID,87.78,overcast clouds,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
331,Aquiraz,BR,79.18,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
333,Ban Dung,TH,84.99,overcast clouds,17.699,103.2596,Heuan Na Khee
337,Mackay,AU,75.69,clear sky,-21.15,149.2,International Lodge Motel
342,Andrews,US,87.06,clear sky,32.3187,-102.5457,Days Inn by Wyndham Andrews Texas
343,Frolovo,RU,82.0,scattered clouds,49.7713,43.6622,Gostinitsa Frolovo
350,Axim,GH,75.27,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
352,Catacamas,HN,84.61,scattered clouds,14.8,-85.9,Villa Genesis
355,Papara,BR,77.68,few clouds,-3.9839,-38.7273,Bela vista Maranguape
356,Tevaitoa,PF,75.81,broken clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
359,Georgetown,MY,89.55,few clouds,5.4112,100.3354,Cititel Penang
360,Kahului,US,86.02,few clouds,20.8947,-156.47,Maui Seaside Hotel
361,Boa Vista,BR,82.38,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
362,Bud,US,80.55,few clouds,39.447,-86.1758,Ted McQuinn Trust
364,Lubao,PH,78.87,moderate rain,14.9167,120.55,Hacienda Gracia
365,Bar Harbor,US,76.26,clear sky,44.3876,-68.2039,Atlantic Oceanside Hotel & Event Center
374,Ostuni,IT,79.59,scattered clouds,40.7276,17.5764,Hotel Relais La Sommità
375,Tongliao,CN,78.6,few clouds,43.6125,122.2653,Meirujia Hotel
379,Marawi,PH,79.25,overcast clouds,7.9986,124.2928,Derogongan Residence
381,Oriximina,BR,75.65,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
383,Puerto Escondido,MX,78.39,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
385,Son La,VN,84.88,broken clouds,21.3167,103.9,Galaxy Grand Hotel
387,Port Hawkesbury,CA,75.15,broken clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
