Weather_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
216,Tuktoyaktuk,CA,69.4541,-133.0374,51.8,76,40,13.8,scattered clouds
217,Tuatapere,NZ,-46.1333,167.6833,41.88,69,13,12.15,few clouds
218,Ellenabad,IN,29.45,74.65,86.14,69,78,10.51,broken clouds
219,Bengkulu,ID,-3.8004,102.2655,85.14,63,12,7.2,few clouds
220,Havre-Saint-Pierre,CA,50.2334,-63.5986,57.56,67,0,12.66,clear sky
221,Gizo,SB,-8.103,156.8419,82.63,71,90,2.48,light rain
222,Tupelo,US,34.2576,-88.7034,82.26,80,0,5.01,clear sky
223,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,79.72,34,71,5.68,broken clouds
224,Muli,MV,2.9167,73.5667,81.57,76,100,10.51,overcast clouds
225,Constantine,DZ,36.365,6.6147,63.81,59,0,1.14,clear sky
226,Dunedin,NZ,-45.8742,170.5036,42.8,51,87,5.99,overcast clouds
227,Sioux Lookout,CA,50.1001,-91.917,57.27,88,100,0.0,overcast clouds
228,Baherden,TM,38.4362,57.4316,91.2,23,29,7.11,scattered clouds
229,Bani,DO,18.2833,-70.3333,79.63,75,71,10.27,broken clouds
230,Kichera,RU,55.9375,110.0997,50.77,97,100,4.23,moderate rain
231,Bandarbeyla,SO,9.4942,50.8122,80.69,53,25,32.12,scattered clouds
232,Zhangjiakou,CN,40.81,114.8794,77.68,57,99,1.57,overcast clouds
233,Udachnyy,RU,66.4167,112.4,46.45,100,100,6.71,overcast clouds
234,Vagay,RU,57.9375,69.0217,73.56,48,99,5.93,overcast clouds
235,Lebu,CL,-37.6167,-73.65,45.41,88,84,8.97,broken clouds
236,Vila Velha,BR,-20.3297,-40.2925,75.15,89,20,12.66,few clouds
237,Margate,GB,51.3813,1.3862,58.3,87,10,4.18,clear sky
238,Yar-Sale,RU,66.8333,70.8333,80.58,44,0,11.86,clear sky
239,Mogadishu,SO,2.0371,45.3438,76.87,78,40,16.11,scattered clouds
240,Kaputa,ZM,-8.4689,29.6619,65.52,52,0,4.56,clear sky
241,Moses Lake,US,47.1301,-119.2781,84.56,20,0,4.61,clear sky
242,Vanimo,PG,-2.6741,141.3028,82.65,79,81,7.4,broken clouds
243,Sorland,NO,67.667,12.6934,52.12,78,100,6.17,overcast clouds
244,Ngunguru,NZ,-35.6167,174.5,58.28,80,44,7.29,scattered clouds
245,Broken Hill,AU,-31.95,141.4333,60.31,34,1,3.51,clear sky
246,Limbang,MY,4.75,115.0,89.71,41,57,1.81,broken clouds
247,Nagram,IN,26.6167,81.1333,93.97,53,3,11.86,clear sky
248,Ponta Do Sol,PT,32.6667,-17.1,71.71,83,0,3.69,clear sky
249,Willowmore,ZA,-33.2926,23.4895,47.43,93,38,5.28,scattered clouds
250,Bentiu,SS,9.2333,29.8333,73.04,94,95,3.13,overcast clouds
251,Port Keats,AU,-14.25,129.55,88.05,47,82,8.7,broken clouds
252,Codrington,AU,-38.2667,141.9667,54.55,57,10,4.63,clear sky
253,Chapais,CA,49.7834,-74.8492,49.78,74,85,3.98,overcast clouds
254,Port Macquarie,AU,-31.4333,152.9167,61.9,69,27,15.35,scattered clouds
255,Terrace,CA,54.5163,-128.6035,66.11,52,20,12.66,few clouds
256,Kalakamati,BW,-20.5929,27.3121,56.21,31,0,8.9,clear sky
257,Mount Gambier,AU,-37.8333,140.7667,53.56,74,89,4.09,overcast clouds
258,Vestmanna,FO,62.1564,-7.1664,52.72,94,100,11.5,mist
259,Port Lincoln,AU,-34.7333,135.8667,58.08,55,0,3.33,clear sky
260,Klaksvik,FO,62.2266,-6.589,54.52,98,100,6.42,overcast clouds
261,Rundu,NA,-17.9333,19.7667,55.08,41,0,4.63,clear sky
262,Bukachacha,RU,52.9833,116.9167,68.72,34,20,12.06,few clouds
263,Kousseri,CM,12.0769,15.0306,72.88,84,100,8.48,overcast clouds
264,Luderitz,NA,-26.6481,15.1594,55.36,67,18,7.92,few clouds
265,Altay,CN,47.8667,88.1167,85.44,24,16,8.61,few clouds
266,Fortuna,US,40.5982,-124.1573,62.94,81,41,1.01,scattered clouds
267,Faanui,PF,-16.4833,-151.75,76.41,69,75,26.22,broken clouds
268,Coihaique,CL,-45.5752,-72.0662,36.21,87,100,3.44,overcast clouds
269,Hobyo,SO,5.3505,48.5268,77.94,71,17,24.2,few clouds
270,Zhigansk,RU,66.7697,123.3711,57.74,70,72,12.97,broken clouds
271,Chuari Khas,IN,32.4333,76.0167,75.02,82,98,4.21,overcast clouds
272,Weligama,LK,5.9667,80.4167,81.93,73,95,12.77,overcast clouds
273,Tamandare,BR,-8.7597,-35.1047,75.52,62,100,8.19,overcast clouds
274,Komsomolets,KZ,53.7453,62.0708,73.92,60,89,9.04,overcast clouds
275,Mzimba,MW,-11.9,33.6,57.06,72,1,7.07,clear sky
276,Palamos,ES,41.8484,3.1291,75.99,49,68,1.99,broken clouds
