City_ID,City,Country,Date,Max Temp,Lat,Lng,Humidity,Cloudiness,Wind Speed
225,Ust-Nera,RU,2022-08-06 04:38:13,76.05,64.5667,143.2,49,95,4.97
226,Yangambi,CD,2022-08-06 04:38:13,70.72,0.8102,24.4336,95,90,1.81
227,Berlevag,NO,2022-08-06 04:39:14,55.4,70.8578,29.0864,76,96,8.05
228,Samarai,PG,2022-08-06 04:39:14,81.28,-10.6167,150.6667,80,31,12.28
229,Praia Da Vitoria,PT,2022-08-06 04:39:15,73.65,38.7333,-27.0667,94,75,8.14
230,Sabha,LY,2022-08-06 04:39:15,85.48,27.0377,14.4283,24,0,13.71
231,Westport,US,2022-08-06 04:39:16,79.02,41.1415,-73.3579,87,0,6.91
232,Chuncheng,CN,2022-08-06 04:39:16,83.66,22.1731,111.7886,81,88,6.44
233,Coahuayana,MX,2022-08-06 04:39:16,77.76,18.7333,-103.6833,89,64,3.42
234,Castro,BR,2022-08-06 04:39:17,54.68,-24.7911,-50.0119,91,35,9.22
235,Dingle,PH,2022-08-06 04:39:17,84.99,10.9995,122.6711,72,100,4.36
236,Atbasar,KZ,2022-08-06 04:39:17,74.55,51.8,68.3333,40,76,10.6
237,Clyde River,CA,2022-08-06 04:39:18,37.63,70.4692,-68.5914,93,75,18.41
238,Ahipara,NZ,2022-08-06 04:39:18,58.77,-35.1667,173.1667,84,76,8.12
239,Willowmore,ZA,2022-08-06 04:39:18,42.82,-33.2926,23.4895,91,4,3.15
240,Kidal,ML,2022-08-06 04:39:18,87.46,18.4411,1.4078,43,50,8.46
241,Dunmore Town,BS,2022-08-06 04:39:19,83.53,25.5,-76.65,72,3,18.5
242,Torbay,CA,2022-08-06 04:35:29,66.58,47.6666,-52.7314,91,100,13.8
243,San Joaquin,US,2022-08-06 04:36:56,77.25,37.9333,-121.3011,67,0,11.5
244,Tashtagol,RU,2022-08-06 04:39:20,71.6,52.7657,87.8894,43,0,2.33
245,Ancud,CL,2022-08-06 04:39:20,40.23,-41.8697,-73.8203,88,6,6.8
246,Prince Rupert,CA,2022-08-06 04:37:02,60.49,54.3161,-130.3201,84,20,11.5
247,Jahazpur,IN,2022-08-06 04:39:20,87.48,25.6167,75.2833,61,39,1.66
248,Winneba,GH,2022-08-06 04:39:21,70.39,5.3511,-0.6231,92,65,5.3
249,Salalah,OM,2022-08-06 04:39:21,77.09,17.0151,54.0924,100,100,6.91
250,Poum,NC,2022-08-06 04:39:21,76.01,-20.2333,164.0167,81,18,10.18
251,Pisco,PE,2022-08-06 04:39:22,57.25,-13.7,-76.2167,88,40,3.44
252,Nioaque,BR,2022-08-06 04:39:22,66.29,-21.1353,-55.83,74,32,3.56
253,Bucerias,MX,2022-08-06 04:39:23,80.58,20.75,-105.3333,89,100,5.75
254,Carballo,ES,2022-08-06 04:39:23,65.89,43.213,-8.691,87,95,9.24
255,Banda Aceh,ID,2022-08-06 04:39:23,86.49,5.5577,95.3222,61,99,11.59
256,Deputatskiy,RU,2022-08-06 04:39:24,51.28,69.3,139.9,74,100,4.76
257,Benghazi,LY,2022-08-06 04:39:24,79.54,32.1167,20.0667,71,0,7.38
258,Lieksa,FI,2022-08-06 04:39:24,67.12,63.3167,30.0167,71,55,13.04
259,Alice Springs,AU,2022-08-06 04:39:25,65.75,-23.7,133.8833,24,0,11.5
260,Bathsheba,BB,2022-08-06 04:39:25,83.01,13.2167,-59.5167,90,20,16.11
261,Sinnar,SD,2022-08-06 04:39:25,73.33,13.5691,33.5672,81,100,8.3
262,Mountain Home,US,2022-08-06 04:35:43,78.28,43.133,-115.6912,47,20,14.97
263,Talcahuano,CL,2022-08-06 04:39:26,51.48,-36.7167,-73.1167,93,100,0.0
264,Kununurra,AU,2022-08-06 04:39:26,89.58,-15.7667,128.7333,19,98,10.36
265,Komsomolskiy,UZ,2022-08-06 04:39:26,91.81,40.4272,71.7189,19,0,7.74
266,Vaitape,PF,2022-08-06 04:39:27,77.13,-16.5167,-151.75,79,77,24.92
267,Saldanha,ZA,2022-08-06 04:39:27,50.05,-33.0117,17.9442,90,1,11.63
268,Bandarbeyla,SO,2022-08-06 04:39:27,81.37,9.4942,50.8122,55,63,30.6
269,Lahad Datu,MY,2022-08-06 04:39:28,81.91,5.0268,118.327,78,82,3.98
270,Piotrkow Trybunalski,PL,2022-08-06 04:39:28,69.19,51.4055,19.7032,10,84,15.93
271,Manadhoo,MV,2022-08-06 04:39:28,80.87,5.7667,73.3833,82,98,17.05
272,Tateyama,JP,2022-08-06 04:39:29,78.73,34.9833,139.8667,71,100,6.73
273,Codrington,AU,2022-08-06 04:39:29,55.51,-38.2667,141.9667,74,49,6.82
274,Marystown,CA,2022-08-06 04:40:29,65.86,47.1666,-55.1483,100,93,3.0
275,Hagere Hiywet,ET,2022-08-06 04:40:30,59.72,8.9833,37.85,89,81,2.44
276,Sistranda,NO,2022-08-06 04:40:30,49.96,63.7256,8.834,84,96,20.98
277,Palembang,ID,2022-08-06 04:40:30,87.89,-2.9167,104.7458,62,75,3.44
278,Mangan,IN,2022-08-06 04:40:31,85.12,27.5167,88.5333,80,66,5.97
279,Tual,ID,2022-08-06 04:40:31,77.61,-5.6667,132.75,87,97,9.8
280,Morondava,MG,2022-08-06 04:40:31,67.1,-20.2833,44.2833,69,0,5.77
281,Moose Factory,CA,2022-08-06 04:40:31,73.4,51.2585,-80.6094,56,100,13.8
282,Xichang,CN,2022-08-06 04:40:32,81.34,27.8964,102.2634,63,34,2.35
